"name","industry_label_list","revenue","netIncome","equity","numEmployees","locationCity_list","stockSymbol","tradedAs_list","ceo_name_list","foundingDate","founded_list"
"Red Lobster","Restaurant","2.6E9",,,55000,"",,"","",,""
"Rede S.A.","Financial services","1.5E9",,,2455,"",,"","",,""
"Specialized Bicycle Components","Bicycle","5.0E8",,,1500,"",,"","",,""
"Spike Chunsoft","Video game industry","4.809E8",,,200,"",,"","",,""
"Stamps.com","Service (economics)","7.5798E8",,,1100,"",,"","",,""
"Standard Chartered Uganda","Financial services","7.2E10",,,600,"",,"","",,""
"Yazaki","Automotive industry","1.76E10",,,306118,"",,"","",,""
"Yokogawa Electric","Electrical device,Information technology","4.044E11",,,18107,"",,"","",,""
"Zappos","Retail","2.0E9",,,1500,"",,"","",,""
"Zilog","Semiconductor","8.2E7",,,174,"",,"","",,""
"Zilog","Semiconductor","6.72E7",,,174,"",,"","",,""
"Ann Inc.","Retail","2.488E8",,,19900,"",,"","",,""
"Steris","Medical device","2.78",,,12000,"",,"","",,""
"Sensient Technologies","Aroma compound","1468.0",,,3986,"",,"","",,""
"Transfesa","Logistics","2.9E8",,,1125,"",,"","",,""
"Sterling Financial Corporation","Bank","3.79E8",,,2547,"",,"","",,""
"Steward Bank","Financial services","5412080.0",,,325,"",,"","",,""
"Yangtze River Pharmaceutical Group","Pharmaceutical industry","1.9533E10",,,13000,"",,"","",,""
"Yokohama Rubber Company","Manufacturing","5.22E9",,,14617,"",,"","",,""
"Zapp Group","Metalworking","4.0E8",,,1300,"",,"","",,""
"Zenith Data Systems","Computer hardware","1.0E9",,,2100,"",,"","",,""
"Stepan Company","Chemical substance","1.925E9",,,2096,"",,"","",,""
"Yorkshire Water","Water industry","9.84E8",,,2500,"",,"","",,""
"ZTE","Networking hardware,Telecommunications equipment","1.32E10",,,68240,"",,"","",,""
"Web Technology Group","Technology","6.0",,,60,"",,"","",,""
"Apollo-Optik","Health care,Retail","3.55E8",,,3600,"",,"","",,""
"Albanian Power Corporation","Electric power distribution,Electric power transmission,Electricity generation,Electricity retailing","2.0E10",,,994,"",,"","",,""
"First Solution Money Transfer","Foreign exchange market","8.7E7",,,100,"",,"","",,""
"Flores (company)","Drink","400000.0",,,5,"",,"","",,""
"Ansys","Software","1.516E9",,,4100,"",,"","",,""
"Apple Leisure Group","Hospitality industry,Tourism,Travel","3.0E9",,,25000,"",,"","",,""
"Apple Productivity Experience Group","Software","3.5E8",,,180,"",,"","",,""
"Arch Capital Group","Insurance","6.98E9",,,4500,"",,"","",,""
"Architecture for Humanity","Architecture,Construction,International development,Nonprofit organization","1.2011838E7",,,0,"",,"","",,""
"Fisher & Paykel Healthcare","Medical device","1.263E9",,,5081,"",,"","",,""
"Apotex","Pharmaceutical industry","3.0E9",,,8000,"",,"","",,""
"Armstrong World Industries","List of building materials","9.369E8",,,4200,"",,"","",,""
"First Alliance Bank Zambia Limited","Bank","1.4826E7",,,112,"",,"","",,""
"First Solar","Photovoltaics","3.58E9",,,6400,"",,"","",,""
"Ford Motor Credit Company","Diversified financial","8.996E9",,,6500,"",,"","",,""
"AptarGroup","Drug delivery","2.929E9",,,13000,"",,"","",,""
"Aruba Networks","Computer network","3.0E9",,,6000,"",,"","",,""
"First Potomac Realty Trust","Real estate investment trust","1.6E8",,,120,"",,"","",,""
"Flytoget","Rail transport","6.89E8",,,265,"",,"","",,""
"FoodFirst Global Restaurants","Restaurant","4.07E8",,,5000,"",,"","",,""
"Newell Brands","Final good","1.474E10",,,31000,"",,"","",,""
"Nichicon","Electronics","1.072E11",,,5792,"",,"","",,""
"Nippon Electric Glass","Glass","2.4E9",,,5275,"",,"","",,""
"Niska Gas Storage Partners","Public utility","1.8591E8",,,133,"",,"","",,""
"Nord-Trøndelag Elektrisitetsverk","Electric utility","1809.0",,,950,"",,"","",,""
"Nordnet","Financial institution","1.57E9",,,497,"",,"","",,""
"Bizerba","Food processing","6.77E8",,,4100,"",,"","",,""
"NerdWallet","Financial technology,Personal finance","1.0E8",,,384,"",,"","",,""
"Nestlé","Food processing","8.468E10",,,273000,"",,"","",,""
"Nixon Williams","Professional services","5500000.0",,,53,"",,"","",,""
"Noble Corporation","Petroleum industry","9.64E8",,,1500,"",,"","",,""
"Nomad Foods","Food","1.957E9",,,3875,"",,"","",,""
"Nippon Light Metal","Chemical substance,Non-ferrous metal","3.954E9",,,10392,"",,"","",,""
