"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] NumberOfEmployeesComparatorAbsoluteDifferenceSimilarity record1Value","[0] NumberOfEmployeesComparatorAbsoluteDifferenceSimilarity record2Value","[0] NumberOfEmployeesComparatorAbsoluteDifferenceSimilarity record1PreprocessedValue","[0] NumberOfEmployeesComparatorAbsoluteDifferenceSimilarity record2PreprocessedValue","[0] NumberOfEmployeesComparatorAbsoluteDifferenceSimilarity similarity","[0] NumberOfEmployeesComparatorAbsoluteDifferenceSimilarity postproccesedSimilarity","[1] CompanyNameComparatorTokenizingJaccardSimilarity record1Value","[1] CompanyNameComparatorTokenizingJaccardSimilarity record2Value","[1] CompanyNameComparatorTokenizingJaccardSimilarity record1PreprocessedValue","[1] CompanyNameComparatorTokenizingJaccardSimilarity record2PreprocessedValue","[1] CompanyNameComparatorTokenizingJaccardSimilarity similarity","[1] CompanyNameComparatorTokenizingJaccardSimilarity postproccesedSimilarity"
"WekaMatchingRule","ft_id_721","dbpedia_2646","0.012903225806451613","0","10640.0","1144.0","10640.0","1144.0","0.990504","0.990504","Steel Dynamics","SNT Dynamics","Steel Dynamics","SNT Dynamics","0.3333333333333333","0.3333333333333333"
"WekaMatchingRule","ft_id_1177","dbpedia_6754","0.012903225806451613","0","44173.0","499.0","44173.0","499.0","0.956326","0.956326","China National Chemical","Jaiz Bank","China National Chemical","Jaiz Bank","0.0","0.0"
"WekaMatchingRule","ft_id_861","dbpedia_454","0.012903225806451613","0","19300.0","50000.0","19300.0","50000.0","0.9693","0.9693","Roper Technologies","Trane Technologies","Roper Technologies","Trane Technologies","0.3333333333333333","0.3333333333333333"
"WekaMatchingRule","ft_id_1702","dbpedia_5879","0.012903225806451613","0","31000.0","2062.0","31000.0","2062.0","0.971062","0.971062","PVH","GFI Group","PVH","GFI Group","0.0","0.0"
"WekaMatchingRule","ft_id_255","dbpedia_905","1.0","1","15000.0","5000.0","15000.0","5000.0","0.99","0.99","NextEra Energy","NextEra Energy","NextEra Energy","NextEra Energy","1.0","1.0"
"WekaMatchingRule","ft_id_1679","dbpedia_1170","0.16666666666666666","0","25547.0","841.0","25547.0","841.0","0.975294","0.975294","Singapore Airlines","Singapore Airlines Cargo","Singapore Airlines","Singapore Airlines Cargo","0.6666666666666666","0.6666666666666666"
"WekaMatchingRule","ft_id_41","dbpedia_2634","0.012903225806451613","0","300000.0","409.0","300000.0","409.0","0.7004090000000001","0.7004090000000001","CVS Health","Punch Pubs","CVS Health","Punch Pubs","0.0","0.0"
"WekaMatchingRule","ft_id_689","dbpedia_2121","0.012903225806451613","0","-99.0","380.0","-99.0","380.0","0.999521","0.999521","Legend Holding","Gasum","Legend Holding","Gasum","0.0","0.0"
"WekaMatchingRule","ft_id_732","dbpedia_71","0.012903225806451613","0","8116.0","300000.0","8116.0","300000.0","0.708116","0.708116","CLP Holdings","SCM Holdings","CLP Holdings","SCM Holdings","0.3333333333333333","0.3333333333333333"
"WekaMatchingRule","ft_id_1790","dbpedia_6852","0.012903225806451613",,"9000.0","270.0","9000.0","270.0","0.99127","0.99127","Clorox","NanoString Technologies","Clorox","NanoString Technologies","0.0","0.0"
