"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] NumberOfEmployeesComparatorPercentageSimilarity record1Value","[0] NumberOfEmployeesComparatorPercentageSimilarity record2Value","[0] NumberOfEmployeesComparatorPercentageSimilarity record1PreprocessedValue","[0] NumberOfEmployeesComparatorPercentageSimilarity record2PreprocessedValue","[0] NumberOfEmployeesComparatorPercentageSimilarity similarity","[0] NumberOfEmployeesComparatorPercentageSimilarity postproccesedSimilarity","[1] CompanyNameComparatorLevenshteinSimilarity record1Value","[1] CompanyNameComparatorLevenshteinSimilarity record2Value","[1] CompanyNameComparatorLevenshteinSimilarity record1PreprocessedValue","[1] CompanyNameComparatorLevenshteinSimilarity record2PreprocessedValue","[1] CompanyNameComparatorLevenshteinSimilarity similarity","[1] CompanyNameComparatorLevenshteinSimilarity postproccesedSimilarity"
"WekaMatchingRule","ft_id_247","7.1m_761",,"0","31518.0","15063.0","31518.0","15063.0","0.8955834761088901","0.8955834761088901","Exelon","intermountain healthcare","Exelon","intermountain healthcare","0.125","0.125"
"WekaMatchingRule","ft_id_1324","7.1m_2765","0.015873015873015872",,"2253.0","8361.0","2253.0","8361.0","0.8538930749910298","0.8538930749910298","APA","apl","APA","apl","0.6666666666666667","0.6666666666666667"
"WekaMatchingRule","ft_id_236","7.1m_1134","0.015873015873015872","1","41000.0","13738.0","41000.0","13738.0","0.8670146341463414","0.8670146341463414","Archer Daniels Midland","archer daniels midland company","Archer Daniels Midland","archer daniels midland company","0.7333333333333334","0.7333333333333334"
"WekaMatchingRule","ft_id_15","7.1m_1650",,"0","82000.0","9834.0","82000.0","9834.0","0.8239853658536586","0.8239853658536586","Shell","hella","Shell","hella","0.6","0.6"
"WekaMatchingRule","ft_id_1223","7.1m_1387",,"0","39015.0","13898.0","39015.0","13898.0","0.8712443931821094","0.8712443931821094","Shanghai Electric Group","erasmus mc","Shanghai Electric Group","erasmus mc","0.13043478260869568","0.13043478260869568"
"WekaMatchingRule","ft_id_1132","7.1m_1593",,"0","-99.0","17038.0","-99.0","17038.0","0.7988378917713347","0.7988378917713347","Luzhou Lao Jiao","conagra foods","Luzhou Lao Jiao","conagra foods","0.06666666666666665","0.06666666666666665"
"WekaMatchingRule","ft_id_1032","7.1m_579","0.015873015873015872","0","5814.0","23171.0","5814.0","23171.0","0.8501834189288334","0.8501834189288334","NASDAQ","nasa","NASDAQ","nasa","0.6666666666666667","0.6666666666666667"
"WekaMatchingRule","ft_id_1211","7.1m_924",,"0","3809.0","18547.0","3809.0","18547.0","0.8410740281447134","0.8410740281447134","Mirae Asset Financial Group","massmutual financial group","Mirae Asset Financial Group","massmutual financial group","0.6296296296296297","0.6296296296296297"
"WekaMatchingRule","ft_id_906","7.1m_7937","0.0",,"13313.0","3131.0","13313.0","3131.0","0.8470367310147976","0.8470367310147976","Alleghany","alltech","Alleghany","alltech","0.4444444444444444","0.4444444444444444"
"WekaMatchingRule","ft_id_1326","7.1m_3569","0.0",,"418742.0","4158.0","418742.0","4158.0","0.8019859483882676","0.8019859483882676","Teleperformance","teamhealth","Teleperformance","teamhealth","0.2666666666666667","0.2666666666666667"
