"AttributeName","Consistency","ValueIDS","RecordIDS","Values","FusedValue","IsCorrect","CorrectValue"
"Country","0.0","Country-{7.1m_5086+ft_id_578}","7.1m_5086+ft_id_578","{china|China}","China",,
"NumberOfEmployees","0.6","NumberOfEmployees-{7.1m_2488+7.1m_3783+dbpedia_5379+dbpedia_5380+ft_id_1033}","7.1m_2488+7.1m_3783+dbpedia_5379+dbpedia_5380+ft_id_1033","{5982|6943|8051|8051|7611}","8051",,
"CeoNames","1.0","CeoNames-{ft_id_1553+ft_id_486}","ft_id_1553+ft_id_486","{[, Takashi Yamauchi, ]|[, Jasim Husain Ahmed Thabet, ]}","[, Takashi Yamauchi, ]",,
"Country","0.6428571428571429","Country-{7.1m_1070+7.1m_1215+7.1m_140+7.1m_1779+7.1m_2237+7.1m_4024+7.1m_4087+7.1m_4419+7.1m_6371+7.1m_919+ft_id_1212+ft_id_14+ft_id_1742+ft_id_247}","7.1m_1070+7.1m_1215+7.1m_140+7.1m_1779+7.1m_2237+7.1m_4024+7.1m_4087+7.1m_4419+7.1m_6371+7.1m_919+ft_id_1212+ft_id_14+ft_id_1742+ft_id_247","{united states|united states|united states|united states|united states|united states|united states|united states|canada|united states|Ireland|United States|Netherlands|United States}","canada",,
"Revenue","0.5","Revenue-{dbpedia_2279+ft_id_1573}","dbpedia_2279+ft_id_1573","{6930000000|7926000000}","6930000000",,
"Country","0.0","Country-{7.1m_1616+7.1m_4870+ft_id_24+ft_id_274}","7.1m_1616+7.1m_4870+ft_id_24+ft_id_274","{sweden|germany|Germany|Sweden}","Sweden",,
"NumberOfEmployees","0.8","NumberOfEmployees-{7.1m_1616+7.1m_4870+dbpedia_580+ft_id_24+ft_id_274}","7.1m_1616+7.1m_4870+dbpedia_580+ft_id_24+ft_id_274","{10477|4369|307342|672789|95850}","307342",,
"Name","0.0625","Name-{7.1m_1081+7.1m_1338+7.1m_1654+7.1m_2347+7.1m_2640+7.1m_2880+7.1m_3336+7.1m_3665+7.1m_397+7.1m_4056+7.1m_4219+7.1m_4459+7.1m_4573+7.1m_4652+7.1m_4653+7.1m_4790+7.1m_48+7.1m_5571+7.1m_5929+7.1m_6226+7.1m_808+dbpedia_1570+dbpedia_2846+dbpedia_910+ft_id_1292+ft_id_1372+ft_id_1376+ft_id_1682+ft_id_240+ft_id_515+ft_id_671+ft_id_740}","7.1m_1081+7.1m_1338+7.1m_1654+7.1m_2347+7.1m_2640+7.1m_2880+7.1m_3336+7.1m_3665+7.1m_397+7.1m_4056+7.1m_4219+7.1m_4459+7.1m_4573+7.1m_4652+7.1m_4653+7.1m_4790+7.1m_48+7.1m_5571+7.1m_5929+7.1m_6226+7.1m_808+dbpedia_1570+dbpedia_2846+dbpedia_910+ft_id_1292+ft_id_1372+ft_id_1376+ft_id_1682+ft_id_240+ft_id_515+ft_id_671+ft_id_740","{nenhuma|netsuite|netflix|nec|netcare|netcracker|nemak|nexans|nedbank|nexity|neusoft|netease|nemours|nexen|neoris|netjets|nestlé|neisd|neopost|neant|netapp|Nexon|Neste|NetApp|Nedbank|NetApp|NEXON|Next|Netflix|NetEase|Neste|NEC}","nec",,
"NumberOfEmployees","0.75","NumberOfEmployees-{7.1m_2634+7.1m_5691+dbpedia_2062+ft_id_175}","7.1m_2634+7.1m_5691+dbpedia_2062+ft_id_175","{4442|2903|158000|133000}","158000",,
"FoundingYear","1.0","FoundingYear-{ft_id_617}","ft_id_617","{1889}","1889",,
"City","0.0","City-{7.1m_2765+ft_id_1324}","7.1m_2765+ft_id_1324","{charlotte|Houston}","Houston",,
"FoundingYear","1.0","FoundingYear-{7.1m_1758+ft_id_464}","7.1m_1758+ft_id_464","{1963|1963}","1963",,
"Industries","0.5","Industries-{dbpedia_6643+ft_id_1528}","dbpedia_6643+ft_id_1528","{[, Hospitality
				Tourism, ]|[, Hotels, Restaurants & Leisure, ]}","[]",,
"NumberOfEmployees","0.6666666666666666","NumberOfEmployees-{7.1m_1284+dbpedia_5353+ft_id_842}","7.1m_1284+dbpedia_5353+ft_id_842","{13093|11098|13900}","11098","true","15000"
