"RecordIDS","AverageConsistency","Name-Consistency","Name-Values","Country-Consistency","Country-Values","NumberOfEmployees-Consistency","NumberOfEmployees-Values","Revenue-Consistency","Revenue-Values","FoundingYear-Consistency","FoundingYear-Values","Industries-Consistency","Industries-Values","City-Consistency","City-Values","Website-Consistency","Website-Values","CeoNames-Consistency","CeoNames-Values"
"7.1m_20979+dbpedia_611","1.0","1.0","{granules india limited|Granules India Limited}","1.0","{india}","1.0","{967|2789}","1.0","{2279}","1.0","{1984}","1.0","{[, pharmaceuticals, ]|[, Pharmaceutical industry, ]}","1.0","{hyderābād}",,,"1.0","{[, , ]}"
"7.1m_51918+dbpedia_190","1.0","1.0","{nbs bank|NBS Bank}",,,"1.0","{343|342}","1.0","{1700000000}",,,"1.0","{[, banking, ]|[, Bank, ]}",,,,,"1.0","{[, , ]}"
"7.1m_851+dbpedia_399+ft_id_1847","0.5555555555555556","0.6666666666666666","{amadeus it group|Amadeus IT Group|Amadeus IT Group}","0.0","{spain|Spain}","0.6666666666666666","{17138|19000|15936}","0.5","{5578000000|3156000000}","1.0","{1987|1987}","0.6666666666666666","{[, information technology and services, ]|[, Travel technology, ]|[, Business Services & Supplies, ]}","0.0","{madrid|Madrid}","1.0","{http://www.amadeus.com}","0.5","{[, , ]|[, Luis Maroto Camino, ]}"
"7.1m_19232+dbpedia_881","1.0","1.0","{squarespace|Squarespace}","1.0","{united states}","1.0","{988|1143}","1.0","{621100000}","1.0","{2004}","1.0","{[, internet, ]|[, Internet, ]}","1.0","{new york}",,,"1.0","{[, , ]}"
"7.1m_27207+7.1m_3750+7.1m_4506+dbpedia_5509","0.7","0.5","{banco itaú|banco itaú|banco itaú|Banco Itaú}",,,"0.5","{1089|7365|7349|94779}","1.0","{32900000000}",,,"0.5","{[, insurance, ]|[, banking, ]|[, banking, ]|[, Financial services, ]}",,,,,"1.0","{[, , ]}"
"7.1m_2637+dbpedia_6023","1.0","1.0","{ciena|Ciena}","1.0","{united states}","1.0","{6833|7000}","1.0","{3532000000}","1.0","{1992}","1.0","{[, telecommunications, ]|[, Telecommunications, ]}","1.0","{hanover}",,,"1.0","{[, , ]}"
"7.1m_35842+dbpedia_5314","1.0","1.0","{forgerock|ForgeRock}","1.0","{united states}","1.0","{432|700}","1.0","{100000000}","1.0","{2010}","1.0","{[, information technology and services, ]|[, Enterprise software, ]}","1.0","{san francisco}",,,"1.0","{[, , ]}"
"7.1m_22529+dbpedia_5151","1.0","1.0","{sandridge energy|SandRidge Energy}","1.0","{united states}","1.0","{1736|270}","1.0","{266000000}","1.0","{2006}","1.0","{[, oil & energy, ]|[, Petroleum industry, ]}","1.0","{oklahoma city}",,,"1.0","{[, , ]}"
"7.1m_5935+dbpedia_1979","1.0","1.0","{etsy|Etsy}","1.0","{united states}","1.0","{2892|1400}","1.0","{1725000000}","1.0","{2005}","1.0","{[, internet, ]|[, E-commerce, ]}","1.0","{brooklyn}",,,"1.0","{[, , ]}"
"dbpedia_6504+ft_id_276","0.8888888888888888","0.0","{National Grid plc|National Grid}","1.0","{United Kingdom}","1.0","{23683|23683}","1.0","{14779000000|20775000000}","1.0","{1990}","1.0","{[, Public utility, ]|[, Utilities, ]}","1.0","{London}","1.0","{http://nationalgrid.com}","1.0","{[, , ]|[, John Mark Pettigrew, ]}"
"7.1m_44795+dbpedia_5146","1.0","1.0","{scoot|Scoot}","1.0","{singapore}","1.0","{431|1976}","1.0","{212300000}","1.0","{2011}","1.0","{[, airlines/aviation, ]|[, Airline, ]}",,,,,"1.0","{[, , ]}"
"7.1m_11581+dbpedia_1822","1.0","1.0","{mainfreight|Mainfreight}",,,"1.0","{1932|9240}","1.0","{3540000000}","1.0","{1978}","1.0","{[, logistics and supply chain, ]|[, Logistics, ]}",,,,,"1.0","{[, , ]}"
"7.1m_101035+dbpedia_2842+dbpedia_6565","0.7142857142857143","0.6666666666666666","{nihon kohden|Nihon Kohden|Nihon Kohden}","1.0","{japan}","0.6666666666666666","{175|4616|4616}","0.5","{1350000000|160800000000}",,,"0.6666666666666666","{[, medical devices, ]|[, Medical device, ]|[, Medical device, ]}","1.0","{tokyo}",,,"0.5","{[, , ]|[, , ]}"
"7.1m_71319+dbpedia_962","1.0","1.0","{chupa chups|Chupa Chups}","1.0","{spain}","1.0","{949|2000}","1.0","{500000000}",,,"1.0","{[, food production, ]|[, Confectionery, ]}","1.0","{sant esteve sesrovires}",,,"1.0","{[, , ]}"
"7.1m_224+7.1m_6413+dbpedia_5911","0.6875","0.6666666666666666","{hilton worldwide|hilton worldwide|Hilton Worldwide}","0.5","{united states|united states}","0.6666666666666666","{56818|3178|173000}","1.0","{4307000000}","0.5","{1919|1919}","0.6666666666666666","{[, hospitality, ]|[, hospitality, ]|[, Hospitality industry, ]}","0.5","{mclean|mclean}",,,"1.0","{[, , ]}"
"7.1m_4016+dbpedia_5264","1.0","1.0","{mövenpick hotels & resorts|Mövenpick Hotels & Resorts}","1.0","{switzerland}","1.0","{7823|16000}","1.0","{978800000}","1.0","{1973}","1.0","{[, hospitality, ]|[, Hospitality
				Tourism, ]}","1.0","{baar}",,,"1.0","{[, , ]}"
"7.1m_2267+dbpedia_3671","1.0","1.0","{ims health|IMS Health}","1.0","{united states}","1.0","{15126|14000}","1.0","{2}","1.0","{1954}","1.0","{[, information technology and services, ]|[, Health care
				Technology, ]}","1.0","{danbury}",,,"1.0","{[, , ]}"
"7.1m_23231+dbpedia_3154","1.0","1.0","{hfcl|HFCL}","1.0","{india}","1.0","{1442|1719}","1.0","{613950000}",,,"1.0","{[, telecommunications, ]|[, Telecommunications, ]}","1.0","{mohali}",,,"1.0","{[, , ]}"
"7.1m_9827+dbpedia_5766","1.0","1.0","{dole food company|Dole Food Company}","1.0","{united states}","1.0","{3189|36000}","1.0","{9700000000}","1.0","{1851}","1.0","{[, food production, ]|[, Agribusiness, ]}","1.0","{westlake village}",,,"1.0","{[, , ]}"
"7.1m_22526+dbpedia_5212","1.0","1.0","{ledesma s.a.a.i.|Ledesma S.A.A.I.}",,,"1.0","{1029|7700}","1.0","{723000000}","1.0","{1908}","1.0","{[, food production, ]|[, Food processing
				Paper mill, ]}",,,,,"1.0","{[, , ]}"
"7.1m_57688+dbpedia_2421","1.0","1.0","{marimekko|Marimekko}","1.0","{finland}","1.0","{745|446}","1.0","{102300000}","1.0","{1951}","1.0","{[, consumer goods, ]|[, Clothing industry
				Textile industry, ]}","1.0","{helsinki}",,,"1.0","{[, , ]}"
"dbpedia_4319+ft_id_183","0.7777777777777778","0.5","{ING Group|ING Group}","1.0","{Netherlands}","1.0","{55901}","0.5","{17637000000|21488000000}","1.0","{1991}","0.5","{[, Financial services, ]|[, Diversified Financials, ]}","1.0","{Amsterdam}","1.0","{http://www.ing.com}","0.5","{[, , ]|[, Steven van Rijswijk, ]}"
"7.1m_3204+dbpedia_5745","1.0","1.0","{europcar|Europcar}","1.0","{puerto rico}","1.0","{9097|8999}","1.0","{2929000000}",,,"1.0","{[, leisure, travel & tourism, ]|[, Car rental, ]}",,,,,"1.0","{[, , ]}"
"7.1m_16378+dbpedia_857","1.0","1.0","{national express|National Express}","1.0","{united kingdom}","1.0","{1791|51000}","1.0","{1955}",,,"1.0","{[, transportation/trucking/railroad, ]|[, Public transport, ]}","1.0","{birmingham}",,,"1.0","{[, , ]}"
"7.1m_66672+dbpedia_2465","1.0","1.0","{smarsh|Smarsh}","1.0","{united states}","1.0","{430|623}","1.0","{111400000}","1.0","{2001}","1.0","{[, information technology and services, ]|[, File archiver
				Software as a service, ]}","1.0","{portland}",,,"1.0","{[, , ]}"
"7.1m_100552+dbpedia_3349","1.0","1.0","{student transportation inc.|Student Transportation Inc.}","1.0","{united states}","1.0","{166|11500}","1.0","{423000000}","1.0","{1997}","1.0","{[, transportation/trucking/railroad, ]|[, Student transport, ]}","1.0","{sarpy}",,,"1.0","{[, , ]}"
"7.1m_56440+dbpedia_6891","0.8571428571428571","0.0","{parex group|Partex Group}","1.0","{luxembourg}","1.0","{372|70000}","1.0","{800000000}",,,"1.0","{[, building materials, ]|[, Conglomerate (company), ]}","1.0","{jundiai}",,,"1.0","{[, , ]}"
"7.1m_2472+dbpedia_6554+ft_id_640","0.4444444444444444","0.6666666666666666","{firstenergy|FirstEnergy|FirstEnergy}","0.0","{united states|United States}","0.6666666666666666","{5804|12153|12395}","0.5","{10790000000|11406000000}","0.0","{1997|1996}","0.6666666666666666","{[, utilities, ]|[, Electric utility, ]|[, Utilities, ]}","0.0","{akron|Akron}","1.0","{http://www.firstenergycorp.com}","0.5","{[, , ]|[, Steven E. Strah, ]}"
"7.1m_5181+dbpedia_1240","1.0","1.0","{bmi healthcare|BMI Healthcare}","1.0","{united kingdom}","1.0","{3975|9500}","1.0","{834000000}","1.0","{1993}","1.0","{[, hospital & health care, ]|[, Health care, ]}","1.0","{london}",,,"1.0","{[, , ]}"
"7.1m_29063+dbpedia_5448","1.0","1.0","{american homes 4 rent|American Homes 4 Rent}","1.0","{united states}","1.0","{869|1324}","1.0","{1143000000}",,,"1.0","{[, real estate, ]|[, Real estate investment trust, ]}","1.0","{agoura hills}",,,"1.0","{[, , ]}"
"7.1m_312+dbpedia_1035+ft_id_209","0.5555555555555556","0.6666666666666666","{amgen|Amgen|Amgen}","0.0","{united states|United States}","0.6666666666666666","{38225|22000|24200}","0.5","{25|25987000000}","1.0","{1980|1980}","0.6666666666666666","{[, biotechnology, ]|[, Biotechnology, ]|[, Drugs & Biotechnology, ]}","0.0","{thousand oaks|Thousand Oaks}","1.0","{http://www.amgen.com}","0.5","{[, , ]|[, Robert A. Bradway, ]}"
"7.1m_7088+dbpedia_5016","1.0","1.0","{medpace|Medpace}","1.0","{united states}","1.0","{2778|2800}","1.0","{322000000}","1.0","{1992}","1.0","{[, pharmaceuticals, ]|[, Contract research organization, ]}","1.0","{cincinnati}",,,"1.0","{[, , ]}"
"7.1m_22546+dbpedia_2591","1.0","1.0","{western refining|Western Refining}","1.0","{united states}","1.0","{1134|5700}","1.0","{15200000000}","1.0","{2000}","1.0","{[, oil & energy, ]|[, Oil, ]}","1.0","{el paso}",,,"1.0","{[, , ]}"
"7.1m_6376+dbpedia_2693","1.0","1.0","{deliveroo|Deliveroo}","1.0","{united kingdom}","1.0","{3534|2300}","1.0","{476000000}","1.0","{2012}","1.0","{[, food & beverages, ]|[, Food delivery
				Online food ordering, ]}","1.0","{london}",,,"1.0","{[, , ]}"
