"","name","domain","year founded","industry","size range","locality","country","linkedin url","current employee estimate","total employee estimate"
"5823691","whirlpool corporation","whirlpoolcorp.com","1911.0","consumer goods","10001+","benton harbor, michigan, united states","united states","linkedin.com/company/whirlpool-corporation","11390","28798"
"1671318","university of southern california","usc.edu","1880.0","research","10001+","los angeles, california, united states","united states","linkedin.com/company/university-of-southern-california","11390","35484"
"4076831","my own business","hammons.nl","","translation and localization","10001+","","","linkedin.com/company/my-own-business","11388","12566"
"1955281","ping an insurance (group) company of china ,ltd","pingan.com","","financial services","10001+","","","linkedin.com/company/ping-an-insurance-group-company-of-china-ltd","11386","13731"
"5056461","desjardins","desjardins.com","1900.0","banking","10001+","levis, quebec, canada","canada","linkedin.com/company/desjardins","11370","20246"
"6129949","telus","telus.com","2001.0","telecommunications","10001+","vancouver, british columbia, canada","canada","linkedin.com/company/telus","11363","26319"
"2886895","hays","hays.com","1867.0","staffing and recruiting","10001+","london, greater london, united kingdom","united kingdom","linkedin.com/company/hays","11340","35019"
"1942379","rite aid","riteaid.com","1968.0","retail","10001+","harrisburg, pennsylvania, united states","united states","linkedin.com/company/rite-aid","11323","30951"
"1840018","state of california","stateofcalifornia.gov","1850.0","government administration","10001+","sacramento, california, united states","united states","linkedin.com/company/state-of-california","11294","14792"
"6390135","vanguard","vanguard.com","1975.0","financial services","10001+","valley forge, pennsylvania, united states","united states","linkedin.com/company/vanguard","11284","21034"
"1130836","enterprise holdings","enterpriseholdings.com","","leisure, travel & tourism","10001+","st. louis, missouri, united states","united states","linkedin.com/company/enterprise-holdings-inc-","11269","21572"
"3008214","leidos","leidos.com","1969.0","information technology and services","10001+","reston, virginia, united states","united states","linkedin.com/company/leidos","11250","19408"
"3809721","sky","sky.com","1989.0","broadcast media","10001+","kenilworth, warwickshire, united kingdom","united kingdom","linkedin.com/company/sky","11250","31273"
"4280941","blackrock","blackrock.com","1988.0","financial services","10001+","new york, new york, united states","united states","linkedin.com/company/blackrock","11238","24932"
"968722","henkel","henkel.com","1876.0","consumer goods","10001+","dusseldorf, nordrhein-westfalen, germany","germany","linkedin.com/company/henkel_2","11222","30279"
"6532005","tnt","tnt.com","1946.0","package/freight delivery","10001+","hoofddorp, north holland, netherlands","netherlands","linkedin.com/company/tnt","11221","34820"
"4753291","asda","asda.jobs","","retail","10001+","west yorkshire, kirklees, united kingdom","united kingdom","linkedin.com/company/asda","11215","28211"
"598618","mckesson","mckesson.com","1833.0","hospital & health care","10001+","san francisco, california, united states","united states","linkedin.com/company/mckesson","11207","26683"
"447443","network rail","networkrail.co.uk","2001.0","transportation/trucking/railroad","10001+","buckingham, buckinghamshire, united kingdom","united kingdom","linkedin.com/company/network-rail","11185","20374"
"311890","compass group","compass-group.com","1941.0","food & beverages","10001+","chertsey, surrey, united kingdom","united kingdom","linkedin.com/company/compass-group","11140","30352"
"2162908","atlas copco","atlascopco.com","1873.0","machinery","10001+","stockholm, stockholms lan, sweden","sweden","linkedin.com/company/atlas-copco","11118","22577"
"4781297","rio tinto","riotinto.com","1873.0","mining & metals","10001+","london, london, united kingdom","united kingdom","linkedin.com/company/rio-tinto","11107","29043"
"3971040","robert bosch","bosch.us","1906.0","mechanical or industrial engineering","10001+","farmington hills, michigan, united states","united states","linkedin.com/company/boschusa","11100","26937"
"4362621","marks and spencer","marksandspencer.com","1884.0","retail","10001+","london, london, united kingdom","united kingdom","linkedin.com/company/marks-and-spencer","11093","42984"
"4561020","us army corps of engineers","","","military","10001+","washington, district of columbia, united states","united states","linkedin.com/company/us-army-corps-of-engineers","11056","22561"
"2656496","united states army reserve","","1908.0","military","10001+","fort bragg, north carolina, united states","united states","linkedin.com/company/united-states-army-reserve","11043","24733"
"2008213","regions bank","regions.com","1971.0","banking","10001+","birmingham, alabama, united states","united states","linkedin.com/company/regions-financial-corporation","11039","25153"
"6303080","the university of texas at austin","utexas.edu","1883.0","higher education","10001+","austin, texas, united states","united states","linkedin.com/company/theuniversityoftexasataustin-","11035","38040"
"3125965","zurich insurance company ltd","zurich.com","1872.0","insurance","10001+","zurich, zurich, switzerland","switzerland","linkedin.com/company/zurich-insurance-company-ltd","11024","30993"
"1706847","ppd","ppd.com","1985.0","pharmaceuticals","10001+","wilmington, north carolina, united states","united states","linkedin.com/company/ppd","11019","22460"
"4019409","generalitat de catalunya","gencat.cat","","government administration","10001+","barcelona, catalonia, spain","spain","linkedin.com/company/generalitat-de-catalunya","11016","16193"
"2431011","poste italiane","posteitaliane.it","1862.0","package/freight delivery","10001+","rome, latium, italy","italy","linkedin.com/company/poste-italiane","11009","18657"
"6943252","grant thornton llp","grantthornton.com","1924.0","accounting","10001+","chicago, illinois, united states","united states","linkedin.com/company/grant-thornton-llp","11009","35302"
"2029713","the hartford","thehartford.com","1810.0","financial services","10001+","hartford, connecticut, united states","united states","linkedin.com/company/the-hartford","10994","28316"
"5839120","nasa","nasa.gov","1958.0","aviation & aerospace","10001+","washington, district of columbia, united states","united states","linkedin.com/company/nasa","10955","23171"
"5607031","new york university","nyu.edu","1831.0","higher education","10001+","new york, new york, united states","united states","linkedin.com/company/new-york-university","10931","34526"
"7099675","kotak mahindra bank","kotak.com","1985.0","banking","10001+","bombay, maharashtra, india","india","linkedin.com/company/kotak-mahindra-bank","10920","21284"
"6629597","university of pennsylvania","upenn.edu","","higher education","10001+","philadelphia, pennsylvania, united states","united states","linkedin.com/company/university-of-pennsylvania","10908","32360"
"4317016","paypal","paypal.com","1998.0","internet","10001+","san jose, california, united states","united states","linkedin.com/company/paypal","10904","22950"
"4998210","the goodyear tire & rubber company","goodyear.com","1898.0","automotive","10001+","akron, ohio, united states","united states","linkedin.com/company/goodyear","10893","25928"
"3440407","fifth third bank","53.com","1858.0","financial services","10001+","cincinnati, ohio, united states","united states","linkedin.com/company/fifth-third-bank","10879","30305"
"6627142","intertek","intertek.com","1885.0","international trade and development","10001+","london, greater london, united kingdom","united kingdom","linkedin.com/company/intertek","10853","22830"
"6277471","wells fargo home mortgage","","","banking","10001+","des moines, iowa, united states","united states","linkedin.com/company/wells-fargo-home-mortgage","10853","29712"
"3720909","symantec","symantec.com","1982.0","computer software","10001+","mountain view, california, united states","united states","linkedin.com/company/symantec","10830","39159"
"2858787","unicef","unicef.org","1946.0","non-profit organization management","10001+","new york, new york, united states","united states","linkedin.com/company/unicef","10829","26767"
"1961927","uc berkeley","berkeley.edu","1868.0","higher education","10001+","berkeley, california, united states","united states","linkedin.com/company/uc-berkeley","10808","42665"
"2696365","nsw department of education and communities","nsw.gov.au","1848.0","education management","10001+","sydney, new south wales, australia","australia","linkedin.com/company/nsw-department-of-education","10807","15633"
"3079407","starwood hotels & resorts worldwide, inc.","starwoodhotels.com","1980.0","hospitality","10001+","stamford, connecticut, united states","united states","linkedin.com/company/starwood","10785","43413"
"1540460","quest diagnostics","questdiagnostics.com","1967.0","hospital & health care","10001+","madison, new jersey, united states","united states","linkedin.com/company/quest-diagnostics","10784","22332"
"6727723","sam's club","samsclub.com","","retail","10001+","bentonville, arkansas, united states","united states","linkedin.com/company/sam's-club","10738","30669"
"228998","geen","wizzfox.nl","","information technology and services","10001+","nove mesto pod smrkem, liberecky kraj, czechia","czechia","linkedin.com/company/geen","10723","11722"
"1715092","rutgers university","rutgers.edu","","higher education","10001+","new brunswick, new jersey, united states","united states","linkedin.com/company/rutgers-university","10717","30025"
"4724044","ing","ing.nl","","banking","10001+","","","linkedin.com/company/ing-nederland","10700","44162"
"3690664","ge capital","gecapital.com","","financial services","10001+","norwalk, connecticut, united states","united states","linkedin.com/company/gecapital","10692","67420"
"5138968","education nationale","cdillinger.co.uk","","arts and crafts","10001+","","","linkedin.com/company/education","10689","11306"
"639958","westpac","westpac.com.au","1817.0","banking","10001+","new york, new york, united states","united states","linkedin.com/company/westpac","10682","30609"
"3377211","governo do estado de são paulo","gruffi.com","","security and investigations","10001+","","","linkedin.com/company/governo-do-estado-de-s-o-paulo","10675","12853"
"4863327","northern trust corporation","northerntrust.com","1889.0","financial services","10001+","chicago, illinois, united states","united states","linkedin.com/company/northern-trust","10672","21971"
"4947051","sasol","sasol.com","1950.0","chemicals","10001+","johannesburg, gauteng, south africa","south africa","linkedin.com/company/sasol","10639","16784"
"1493516","electrolux","electroluxgroup.com","1919.0","consumer goods","10001+","stockholm, stockholm, sweden","sweden","linkedin.com/company/electrolux","10631","25939"
"3014013","claro","claro.com.br","2003.0","telecommunications","10001+","","","linkedin.com/company/clarobrasil","10630","25823"
"1619432","university of wisconsin-madison","wisc.edu","","higher education","10001+","madison, wisconsin, united states","united states","linkedin.com/company/university-of-wisconsin-madison","10627","33809"
"6619773","pivate institute","","","information technology and services","10001+","","","linkedin.com/company/none_71","10591","10974"
"5986898","inps","","","information technology and services","10001+","","","linkedin.com/company/inps","10587","11281"
"4491159","general mills","generalmills.com","1928.0","consumer goods","10001+","minneapolis, minnesota, united states","united states","linkedin.com/company/general-mills","10578","26035"
